time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,1,1,2,1
2025-02-13 00:00:00+00:00,75,7,49,3
2025-02-14 00:00:00+00:00,44,5,17,2
2025-02-15 00:00:00+00:00,48,7,69,2
2025-02-16 00:00:00+00:00,37,5,111,2
