time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,1,1,2.0,1.0
2025-02-13 00:00:00+00:00,75,7,49.0,3.0
2025-02-14 00:00:00+00:00,44,5,17.0,2.0
2025-02-15 00:00:00+00:00,48,7,69.0,2.0
2025-02-16 00:00:00+00:00,37,5,111.0,2.0
2025-02-17 00:00:00+00:00,39,6,15.0,2.0
2025-02-18 00:00:00+00:00,35,3,8.0,2.0
2025-02-19 00:00:00+00:00,35,4,,
2025-02-20 00:00:00+00:00,31,2,3.0,2.0
2025-02-21 00:00:00+00:00,54,10,31.0,2.0
2025-02-22 00:00:00+00:00,37,3,1.0,1.0
